Campaign	Ad Group	Labels	Keyword	Criterion Type	Max CPC	Max CPM	Max CPV	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Tracking template	Final URL suffix	Custom parameters	Campaign Status	Ad Group Status	Status	Approval Status	Comment
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionek zaręczynowy warszawa	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionki zaręczynowe warszawa	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionek zaręczynowy z diamentem	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionki zaręczynowe z diamentem	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionek zaręczynowy na zamówienie	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionek zaręczynowy złoto 18k	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		jubiler warszawa pierścionek zaręczynowy	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionek z brylantem warszawa	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionki zaręczynowe sklep warszawa	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		indywidualny projekt pierścionka zaręczynowego	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionek zaręczynowy projekt 3d	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		certyfikowany diament pierścionek	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionek zaręczynowy gia	Phrase				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		[pierścionek zaręczynowy warszawa]	Exact				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		[pierścionki zaręczynowe z diamentem warszawa]	Exact				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		[jubiler pierścionek zaręczynowy warszawa]	Exact				0.00	0.00	0.00						Enabled	Enabled	Enabled	Approved	
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		pierścionek zaręczynowy	Broad				0.00	0.00	0.00						Enabled	Enabled	Paused	Approved	szerokie - uruchomić po zebraniu danych
[SEARCH] Pierścionki zaręczynowe	Pierścionki zaręczynowe		diament zaręczyny pierścionek	Broad				0.00	0.00	0.00						Enabled	Enabled	Paused	Approved	szerokie - uruchomić po zebraniu danych
